name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
K2-21 b,265,9.32504,1.84000,809.00000,2.37200,,4.04252,0.07600,0.67602,0.64678,4222.06000,-1.02561,9.41700,10.00000,559.43622,1.20953,Confirmed
EPIC 212303338.01,266,0.59562,0.58303,38.35681,,,0.14054,0.01894,,0.86306,5338.00000,-0.26371,7.91200,1519.64031,1737.78114,1.07718,Candidate
K2-226 b,267,3.27109,1.53899,252.00000,2.32320,,2.98494,0.04095,0.88598,0.91000,5424.00000,-0.27571,10.22300,316.06921,1173.56034,1.21047,Confirmed
EPIC 211383821.01,268,1.56699,1.34000,460.00000,2.11200,,2.35963,0.01402,0.69300,0.60300,4426.20000,-0.88216,11.50600,240.27070,1414.58134,2.20109,Candidate
Kepler-1203 b,269,0.58800,1.06000,297.40000,1.16270,,1.19757,0.01140,0.64000,0.61000,4105.00000,-0.85362,12.05900,723.80600,1594.78614,1.48359,Confirmed
K2-38 b,270,4.01593,1.65500,260.70000,2.74000,7.70000,,0.05030,1.05400,1.14100,5705.00000,0.03743,9.47000,490.00000,1268.04126,1.93009,Confirmed
KOI-2706.01,271,3.09757,1.73313,83.30000,4.58800,,3.65202,0.04697,1.44097,1.86379,6495.25998,0.75275,9.10900,2564.90404,1980.74085,1.31072,Candidate
KOI-1169.01,273,0.68921,1.39615,195.00000,1.61690,,2.52993,0.01544,1.03391,1.01082,5760.82411,0.01009,11.71500,4292.89563,2252.92877,1.28405,Candidate
K2-90 c,274,2.90071,1.30000,389.00000,1.30320,,2.24129,0.03500,0.70461,0.63475,4421.98000,-0.96847,10.36000,80.80000,851.93872,1.13851,Confirmed
K2-133 c,276,4.86784,1.60300,980.00000,1.62000,,3.19875,0.04341,0.46100,0.45500,3655.00000,-1.47886,10.27900,17.61816,570.22990,1.25757,Confirmed
KOI-4419.01,277,0.25982,1.31885,231.50000,0.65130,,2.29675,0.00652,0.54836,0.56932,3888.04850,-1.17363,12.27200,1575.97038,1753.66604,1.30634,Candidate
TOI-1706.02,279,7.40582,1.57214,382.00000,2.69800,,3.09489,0.07421,0.99400,0.96580,5617.00000,-0.07751,9.46800,151.91023,977.13964,1.71907,Candidate
Kepler-1107 b,281,0.57104,1.34000,262.60000,1.04200,,2.35963,0.01285,0.86000,0.82000,5268.00000,-0.41703,12.15200,2387.26100,1931.30478,1.25222,Confirmed
Kepler-523 b,282,5.83598,1.96000,546.80000,2.06010,,4.50024,0.06159,0.93000,0.86000,5515.00000,-0.27953,10.82700,149.13500,954.82169,1.27934,Confirmed
K2-37 b,284,4.44117,1.61000,358.00000,2.70600,,3.22250,0.05110,0.90000,0.85000,5413.00000,-0.46878,10.14200,213.30000,940.05752,1.13461,Confirmed
Kepler-407 b,285,0.66931,1.07000,132.40000,1.60150,,1.23856,0.01531,1.00000,1.01000,5476.00000,-0.03934,10.91100,4102.00800,2199.06103,1.29441,Confirmed
K2-233 c,286,7.06005,1.28100,273.60259,2.79600,,2.18596,0.06666,0.79000,0.71000,5033.00000,-0.52288,8.37500,67.10000,797.82423,1.45720,Confirmed
EPIC 210696763.01,290,3.65017,1.15000,1920.00000,1.27200,,1.60381,0.02270,0.30678,0.24900,3338.00000,-1.92421,11.71500,12.16359,610.28314,1.76838,Candidate
TOI-2142.01,291,9.30044,1.55503,1595.20886,2.35101,,3.03794,0.06101,0.35032,0.36397,3472.00000,-1.76086,8.78700,4.65876,408.90977,1.25785,Candidate
EPIC 249893012 b,293,3.59510,1.95000,109.29886,4.33000,8.75000,,0.04700,1.05000,1.71000,5430.00000,0.35568,9.71400,1037.00000,1575.54550,1.11933,Confirmed
Kepler-1446 b,294,0.68997,0.82000,121.30000,1.21350,,0.47719,0.01405,0.81000,0.75000,4865.00000,-0.65135,10.20400,1213.33300,1613.92822,1.17646,Confirmed
Kepler-1319 b,295,2.88676,1.34000,631.80000,0.88500,,2.35963,0.02960,0.56000,0.54000,3655.00000,-1.45739,10.72600,38.45200,699.14382,1.20482,Confirmed
Kepler-755 b,296,1.26909,1.76000,340.90000,1.57360,,3.74866,0.02156,0.82000,0.77000,5043.00000,-0.45664,11.87900,889.88800,1457.38904,1.23403,Confirmed
EPIC 212425103.01,297,0.94603,1.81000,425.00000,1.63200,,3.93125,0.01515,0.92000,0.82700,5336.00000,-0.32825,12.72000,1395.80583,1871.75162,1.46472,Candidate
K2-208 b,299,4.19097,1.67462,309.00000,1.94400,,3.44517,0.04878,0.92518,0.87200,5582.00000,-0.21389,10.74600,256.81856,1114.20853,1.01907,Confirmed
EPIC 212435047.01,300,1.11556,1.29000,196.90000,2.04000,,2.21210,0.01796,1.04000,0.98000,5806.00000,0.08775,10.90700,2691.44304,2184.68051,1.78285,Candidate
Kepler-1039 b,302,0.93488,1.46000,282.60000,1.41740,,2.72950,0.01714,0.79000,0.74000,4870.00000,-0.64925,11.75300,668.12800,1462.99206,1.13817,Confirmed
K2-223 c,304,4.56255,1.50000,200.00000,2.80000,,2.85767,0.05490,1.06000,1.00000,5859.00000,-0.03543,9.83500,305.79143,1163.90144,1.03216,Confirmed
TOI-214.02,305,9.69596,0.80680,122.00000,2.77200,,0.45022,0.08655,0.92000,0.79827,5346.17000,-0.32884,6.86200,62.60887,782.92261,1.15795,Candidate
Kepler-1124 b,307,2.85235,1.28000,1402.90000,0.70600,,2.18306,0.03050,0.35000,0.34000,3658.00000,-1.32347,12.82600,50.77700,743.94779,1.19821,Confirmed
K2-210 b,309,0.57023,0.86000,78.47937,,,0.56601,0.01305,0.91172,0.89000,5500.00000,-0.24869,9.91500,3312.25310,2111.49840,1.13801,Confirmed
K2-198 c,312,3.35961,1.42300,180.00000,1.42008,,2.61310,0.04074,0.79900,0.75700,5212.90000,-0.40084,9.22800,239.44075,1094.86203,1.25111,Confirmed
Kepler-1310 b,314,0.67934,1.44000,258.50000,1.17830,,2.66632,0.01452,0.91000,0.88000,5549.00000,-0.19177,12.43600,2830.91000,2068.39781,1.12690,Confirmed
Kepler-1317 b,317,0.56887,1.56000,378.40000,1.21520,,3.05444,0.01280,0.83000,0.79000,5144.00000,-0.41358,13.30900,2413.26100,1938.92001,1.09622,Confirmed
EPIC 212297394 b,318,2.28936,1.48000,535.00000,1.88000,,2.79328,0.03195,0.83000,0.80000,5171.00000,-0.50507,12.18600,306.22832,1164.31694,1.08499,Confirmed
Kepler-1350 c,319,1.76679,1.73000,1009.80000,1.33950,,3.64082,0.02220,0.55000,0.53000,3827.00000,-1.28340,13.12200,94.05400,892.34623,1.10489,Confirmed
Kepler-99 b,320,4.60358,1.48000,449.80000,2.34990,6.15000,,0.05071,0.79000,0.73000,4782.00000,-0.58545,10.75700,108.04200,882.36967,1.08100,Confirmed
Kepler-828 b,321,0.56786,1.51000,334.80000,0.98690,,2.89009,0.01228,0.81000,0.77000,5039.00000,-0.54299,12.99200,1835.15900,1837.44012,1.05952,Confirmed
K2-200 b,322,2.84988,1.36440,273.00000,1.34160,,2.43303,0.03741,0.86021,0.79174,5233.00000,-0.42880,10.37500,266.16357,1124.20893,1.17376,Confirmed
Kepler-48 b,324,4.77800,1.88000,473.00000,2.73610,3.94000,,0.05394,0.88000,0.89000,5194.00000,-0.28926,11.22100,173.12000,1014.58727,1.12851,Confirmed
K2-270 b,325,1.54307,1.38000,286.00000,1.64400,,2.48046,0.02470,0.85000,0.77000,4877.00000,-0.55826,11.36800,453.25864,1284.24062,1.09035,Confirmed
Kepler-842 b,328,1.21957,1.60000,494.90000,1.56720,,3.18859,0.02040,0.78000,0.73000,4848.00000,-0.61238,12.91300,588.95000,1369.77676,1.04760,Confirmed
Kepler-1650 b,329,1.53818,0.96000,841.00000,1.10270,,0.83957,0.01670,0.32600,0.33400,3410.00000,-1.87100,12.19900,54.56200,733.58703,1.01238,Confirmed
K2-268 b,332,2.15168,1.50000,398.00000,1.97000,,2.85767,0.03080,0.84000,0.78000,5106.00000,-0.47140,11.63900,356.03982,1209.02288,1.13286,Confirmed
EPIC 211796070.01,333,1.88993,1.29000,367.00000,1.65600,,2.21210,0.02196,0.70500,0.63800,4491.00000,-0.69076,11.46600,287.45452,1262.10470,1.43236,Candidate
K2-116 b,336,4.65541,0.69000,129.00000,1.89000,,0.25704,0.04800,0.69451,0.66940,4348.35000,-0.74639,7.87500,78.60000,826.68824,1.12704,Confirmed
EPIC 206317286 b,338,1.58252,0.96000,300.00000,1.75200,,0.83957,0.02372,0.71100,0.66900,4864.00000,-0.59336,11.63500,453.29572,1284.26688,1.01471,Confirmed
Kepler-1148 b,340,1.10446,1.69000,493.50000,1.05470,,3.49905,0.01880,0.81000,0.77000,5054.00000,-0.53105,13.20100,815.40700,1495.26598,1.01261,Confirmed
GJ 3473 b,343,1.19800,1.26400,1150.31770,0.95000,1.86000,,0.01589,0.36000,0.36400,3347.00000,-1.82391,8.82900,59.40000,772.71693,7.65566,Confirmed
TOI-2345.01,344,1.05262,1.42031,358.50761,1.52884,,2.60471,0.01823,0.73000,0.75857,4621.00000,-0.62636,8.84700,710.96456,1437.21541,5.69083,Candidate
Kepler-1651 b,345,9.87864,1.84000,1472.70000,1.89150,,4.04252,0.06920,0.52200,0.50300,3713.00000,-1.36800,9.80400,5.65000,481.40083,1.28360,Confirmed
TOI-723.01,346,1.41786,1.10359,204.00000,1.45200,,1.38368,0.02293,0.80000,0.75634,4907.96000,-0.52427,8.65500,568.78013,1359.23949,2.98202,Candidate
HD 136352 b,360,11.57797,1.66400,208.00000,3.93500,4.72000,,0.09640,0.87000,1.05800,5664.00000,0.01620,4.15900,111.60000,904.83910,9.02403,Confirmed
TOI-279.01,365,11.47078,1.85330,1575.00000,3.69800,,4.09224,0.08796,0.69000,0.72503,4413.00000,-0.74565,8.83100,23.21544,610.94780,3.85118,Candidate
TOI-776 b,369,8.24662,1.79800,909.00000,2.38200,5.00000,,0.06530,0.54200,0.54700,3725.00000,-1.30980,7.61500,11.50000,512.45211,2.71115,Confirmed
TOI-561 b,370,0.44657,1.39700,294.00000,1.30800,2.02000,,0.01064,0.80600,0.84300,5342.00000,-0.28233,8.39400,4709.00000,2293.54130,10.02266,Confirmed
HD 108236 b,372,3.79596,1.61500,285.00000,2.38400,,3.23951,0.04527,0.86900,0.87700,5660.00000,-0.14997,7.63700,312.18070,1199.94718,4.46836,Confirmed
TOI-451 b,373,1.85870,1.91000,396.00000,2.03760,,4.30707,0.02830,0.95000,0.87900,5550.00000,-0.18910,9.19000,695.18800,1483.85567,4.54919,Confirmed
TOI-178 b,380,1.91456,1.15200,263.00000,1.69200,1.50000,,0.02607,0.65000,0.65100,4316.00000,-0.87943,8.65600,194.21731,1039.03903,2.69116,Confirmed
TOI-178 c,381,3.23845,1.66900,551.00000,1.95000,4.77000,,0.03700,0.65000,0.65100,4316.00000,-0.87943,8.65600,97.61590,872.17075,3.84700,Confirmed
TOI-2495.01,383,7.79538,1.89393,2783.91292,1.69416,,4.24572,0.05357,0.33757,0.35291,3356.00000,-1.84669,9.82700,4.95910,415.34661,1.52014,Candidate
TOI-2520.01,384,2.09441,1.40280,320.00000,4.13300,,2.55042,0.03105,0.91000,0.77244,5298.00000,-0.37312,8.66100,439.42668,1274.32875,3.78804,Candidate
TOI-2522.01,385,2.09885,1.65997,350.00000,4.36500,,3.39415,0.03176,0.97000,0.96676,5531.00000,-0.10346,8.11400,781.33817,1471.53176,6.53279,Candidate
K2-111 b,386,5.35180,1.82000,118.40000,3.38000,5.58000,,0.05650,0.84000,1.25000,5775.00000,0.27875,9.37700,490.00000,1374.74818,1.04326,Confirmed
GJ 486 b,389,1.46712,1.28900,1387.10000,1.01580,2.77000,,0.01714,0.31200,0.32430,3317.00000,-1.93892,6.36200,39.20000,696.34501,22.14739,Confirmed
TOI-932.02,393,7.98565,1.71677,460.00000,2.72900,,3.59366,0.06942,0.70000,0.73407,4444.00000,-0.72273,9.04800,39.28662,696.82070,1.47243,Candidate
TOI-512.02,394,20.27494,1.74928,410.00000,5.78800,,3.70998,0.14153,0.92000,0.88267,5336.00000,-0.24484,7.79700,28.41026,642.58220,1.48958,Candidate
TOI-2590.01,396,0.74606,1.78500,240.00000,1.75400,,3.83952,0.01698,1.17300,1.13493,6162.00000,0.22352,8.67500,5804.20811,2429.38095,6.59207,Candidate
LHS 1478 b,397,1.94954,1.24200,2089.24440,0.70500,2.33000,,0.01848,0.23600,0.24600,3381.00000,-2.14569,8.76700,23.37220,595.36924,6.81799,Confirmed
TOI-1444 b,402,0.47027,1.41792,214.19220,1.28280,3.58000,,0.01160,0.95130,0.91050,5460.00000,-0.17587,9.06100,5028.50960,2335.41133,5.36971,Confirmed
TOI-2731.01,404,0.99539,1.34940,280.00000,2.23800,,2.38779,0.01960,1.01400,0.83763,5697.00000,-0.17661,8.85700,1733.09669,1795.83147,4.96121,Candidate
TOI-2808.01,405,9.44538,1.78848,863.00000,2.65900,,3.85223,0.08084,0.79000,0.66484,4853.00000,-0.65583,8.42500,33.79941,671.09987,2.97868,Candidate
TOI-214.01,407,18.55370,1.57265,448.00000,3.43800,,3.09660,0.13340,0.92000,0.79827,5346.17000,-0.32884,6.86200,26.35418,630.62658,2.36420,Candidate
TOI-799.01,408,5.54517,1.94480,439.01857,2.22934,,4.44117,0.06131,1.00000,0.91552,5624.00000,-0.12179,9.54100,200.96095,1047.94333,2.20911,Candidate
TOI-1207.01,409,2.62826,0.98170,75.28580,2.09306,,0.90961,0.03848,1.10000,1.10743,5992.00000,0.15361,8.26300,962.16312,1550.14404,1.30368,Candidate
TOI-727.01,410,4.72444,1.96457,1480.00000,0.99900,,4.51808,0.04360,0.49529,0.49720,3653.00000,-1.40164,8.82700,20.86626,594.86857,4.23826,Candidate
TOI-213.02,411,7.75655,1.13600,286.25586,2.43410,,1.53492,0.06873,0.72000,0.67206,4566.40000,-0.75219,8.11900,37.45266,688.54217,1.31561,Candidate
TOI-797.03,416,2.73094,1.01823,456.18938,1.11183,,1.03688,0.02976,0.47147,0.47370,3607.00000,-1.46571,9.55700,38.63856,693.92912,1.48529,Candidate
TOI-2467.01,419,1.75566,1.77385,444.08795,1.34910,,3.79887,0.02644,0.80000,0.80874,4909.00000,-0.46571,8.90700,489.50645,1309.18036,5.40294,Candidate
TOI-1685 b,420,0.66914,1.46800,1254.37120,0.91800,3.03000,,0.01138,0.45400,0.45550,3575.00000,-1.51542,8.75800,236.00000,1090.52028,17.14586,Confirmed
TOI-1634 b,421,0.98935,1.77300,1323.00000,1.02700,7.57000,,0.01545,0.45100,0.45000,3472.00000,-1.57840,8.60000,121.00000,902.60064,13.51081,Confirmed
TOI-4318.01,427,1.13438,1.75324,313.84589,1.44450,,3.72426,0.02136,1.01100,0.84684,5683.00000,-0.17139,9.17300,1476.44562,1725.29849,4.52670,Candidate
TOI-1807 b,428,0.54937,1.49682,370.00000,0.97721,2.44000,,0.01220,0.80480,0.74600,4914.00000,-0.53313,7.56800,1407.22000,1853.94763,14.87572,Confirmed
TOI-1749 b,430,2.38839,1.39000,569.85120,1.03241,,2.51105,0.02910,0.58000,0.55000,3985.00000,-1.15649,10.27000,83.83790,838.47648,1.90591,Confirmed
TOI-4311.02,432,0.99029,1.41565,278.90970,1.35674,,2.59024,0.01858,0.87200,0.85073,5159.00000,-0.33546,9.48800,1338.54432,1683.51918,3.75335,Candidate
TOI-4324.01,433,6.25095,1.13068,770.11956,1.18830,,1.50933,0.04837,0.38627,0.39540,3479.00000,-1.68542,7.49500,8.82080,479.66375,2.08595,Candidate
TOI-4350.01,436,4.87597,1.44506,154.83068,3.33727,,2.68224,0.05774,1.08000,1.14875,5937.00000,0.16941,8.06400,443.09873,1276.98267,2.11728,Candidate
TOI-4352.01,437,11.89186,1.69230,362.68995,4.78248,,3.50715,0.10023,0.95000,0.83455,5461.00000,-0.25331,8.23500,55.54708,759.84531,1.65388,Candidate
TOI-4360.01,439,3.07495,1.60500,1979.28414,1.21794,,3.20554,0.02727,0.28605,0.30825,3246.00000,-2.02211,10.20000,12.78194,526.27052,2.35558,Candidate
TOI-4363.01,440,2.11866,1.83255,664.81206,1.55855,,4.01478,0.02753,0.62000,0.69132,4002.00000,-0.95684,9.23200,145.74899,967.07748,4.92779,Candidate
TOI-119.02,443,10.69173,1.79736,535.00000,3.00200,,3.88475,0.09032,0.86000,0.81966,5130.00000,-0.37757,8.03200,51.38297,745.18598,2.74500,Candidate
TOI-431 b,444,0.49005,1.28000,291.04000,1.01233,3.07000,,0.01130,0.78000,0.73100,4850.00000,-0.56509,6.72300,2120.44750,1891.24658,18.08880,Confirmed
K2-344 b,450,3.35585,1.59000,1101.00000,1.76000,,3.15483,0.03505,0.51000,0.49000,4374.00000,-1.22508,9.66200,37.29660,734.44184,3.11727,Confirmed
K2-352 c,451,8.23489,1.92000,401.00000,3.59000,,4.34543,0.07927,0.98000,0.95000,5791.00000,-0.06326,9.69100,137.56233,953.20160,1.48896,Confirmed
K2-343 b,452,2.78717,1.65000,1470.00000,1.46000,,3.35961,0.03056,0.49000,0.46000,3804.00000,-1.43852,11.85500,39.01672,695.62083,1.56201,Confirmed
K2-352 b,453,3.66591,1.37000,174.79643,1.63000,,2.45002,0.04622,0.98000,0.95000,5791.00000,-0.06326,9.69100,404.70031,1248.36982,1.11578,Confirmed
TOI-4401.01,455,0.45026,1.70328,331.39746,1.18716,,3.54586,0.01122,0.92900,0.89872,5366.00000,-0.21946,9.94800,4793.99396,2315.97704,5.57052,Candidate
TOI-4402.01,456,3.69899,1.63996,198.94027,3.16809,,3.32496,0.04742,1.04000,1.15018,5811.00000,0.13323,8.92800,604.24708,1379.95053,2.15420,Candidate
TOI-4424.01,457,17.74247,1.98845,880.00000,3.08200,,4.61172,0.12410,0.81000,0.68540,4926.19000,-0.60337,8.46200,16.18363,558.25017,1.67905,Candidate
TOI-4443.01,459,1.84986,1.71933,195.41020,2.51828,,3.60276,0.02996,1.04913,1.01733,5834.00000,0.03349,7.01000,1194.21040,1639.23910,6.81583,Confirmed
K2-104 b,460,1.97420,1.79000,1749.00000,1.58400,,3.85778,0.02420,0.51000,0.48000,3712.00000,-1.43415,12.01400,62.10000,783.63657,2.43188,Confirmed
TOI-4527.01,466,0.39944,0.90866,330.81740,0.80288,,0.68945,0.00833,0.48390,0.48595,3702.00000,-1.39838,7.02000,571.50720,1363.26740,14.65376,Confirmed
TOI-4529.01,467,5.87958,1.87212,1352.76221,2.07782,,4.16306,0.05029,0.49085,0.49276,3611.00000,-1.42953,7.95400,14.70611,545.04751,4.43732,Candidate
TOI-4552.01,469,0.30115,1.28011,1457.69740,0.64048,,2.18339,0.00562,0.26093,0.28618,3264.00000,-2.07703,9.39500,265.27480,1123.26927,17.74981,Candidate
TOI-4556.01,470,3.79242,1.56026,3704.22836,1.23084,,3.05531,0.02725,0.18768,0.21855,3319.00000,-2.28216,10.72900,7.03282,453.25464,1.93715,Candidate
TOI-4566.01,473,2.08449,1.88111,609.00465,1.55416,,4.19703,0.02836,0.70000,0.71330,4443.39000,-0.74790,9.84600,222.24111,1074.64737,3.72301,Candidate
TOI-4567.01,474,0.84094,1.67321,549.34659,1.17805,,3.44023,0.01466,0.59497,0.60850,3830.00000,-1.14399,9.81900,333.76785,1189.65492,4.99889,Candidate
TOI-4580.01,476,0.91680,0.61159,39.03836,1.35782,,0.16681,0.01835,0.98000,0.97303,5578.00000,-0.08314,7.57100,2453.56006,1958.88550,1.46527,Candidate
EPIC 201595106 b,478,0.87724,1.56500,250.00000,1.00080,7.67000,,0.01770,0.95800,0.98000,5679.00000,-0.04915,10.21800,2852.00000,2033.69465,2.87197,Confirmed
EPIC 228836835 b,479,0.72811,1.10000,680.00000,0.79920,,1.36760,0.01184,0.41818,0.32000,3782.00000,-1.61153,12.02000,174.34805,1011.37952,1.64958,Confirmed
EPIC 206024342 c,480,0.91172,1.40000,179.00000,1.41600,,2.54180,0.01795,0.92800,1.10000,5724.00000,-0.16992,11.48700,2099.02269,1883.92739,1.01172,Confirmed
EPIC 206042996 c,481,0.35488,1.20000,553.00000,1.07000,,1.86811,0.00811,0.56500,0.50000,4114.00000,-0.97996,13.07100,1592.25556,1758.17893,2.01978,Confirmed
LHS 1678 b,482,0.86023,0.68500,719.53580,0.80100,,0.25042,0.01239,0.34500,0.32900,3490.00000,-1.83863,8.26400,94.30000,867.69426,7.78448,Confirmed
LHS 1678 c,483,3.69428,0.94100,832.82260,1.23000,,0.78152,0.03270,0.34500,0.32900,3490.00000,-1.83863,8.26400,13.50000,534.10729,2.31195,Confirmed
TOI-740.01,484,2.13123,1.99373,479.00000,3.00600,,4.63253,0.03346,1.10000,0.97490,5975.00000,0.03797,8.61400,974.96075,1555.27310,7.11908,Candidate
EPIC 202071401.01,489,3.23792,1.44852,431.00000,1.44480,,2.69316,0.03816,0.70700,0.63967,4500.00000,-0.82055,10.10700,103.81717,888.43811,1.52872,Candidate
EPIC 211336288.01,490,0.22181,1.13000,313.16754,,,1.50607,0.00597,0.57602,0.58541,3942.00000,-1.12752,11.65700,2094.11937,1882.82622,2.57468,Candidate
EPIC 201717274.01,491,3.52725,1.21000,1990.00000,1.68000,,1.92451,0.01697,0.33535,0.25700,3624.00000,-1.82218,12.15300,15.17441,748.43803,2.38197,Candidate
EPIC 204888276.01,492,16.56127,0.95700,1090.00000,4.36800,,0.83020,0.02256,,0.25800,3669.00000,-1.42463,9.25100,,816.14028,6.06823,Candidate
EPIC 211305568.02,495,0.19785,0.72000,197.32899,,,0.29940,0.00516,0.46754,0.46990,3677.00000,-1.43932,10.60800,1367.12698,1692.43537,2.43140,Candidate
EPIC 211817229.01,496,2.17695,1.25000,4800.00000,0.54000,,2.09691,0.02114,0.14116,0.16900,3176.00000,-2.57253,11.69900,9.13391,435.37109,1.44883,Candidate
TOI-4642.01,498,3.60224,1.16719,2229.98569,1.03255,,1.69139,0.02744,0.21235,0.24209,3266.00000,-2.22128,9.51700,7.98066,467.81015,2.35282,Candidate
TOI-4643.01,499,5.02566,1.46558,650.14157,1.88858,,2.74722,0.04604,0.51558,0.51802,3782.00000,-1.30572,8.55000,23.33136,611.70901,2.20370,Candidate
TOI-4644.01,500,0.31819,1.78431,480.00000,0.76200,,3.83698,0.00794,0.66000,0.75085,4242.23000,-0.78382,9.28700,2608.35402,1989.07662,11.65270,Candidate
HD 137496 b,501,1.62116,1.31000,57.50000,3.28000,4.04000,,0.02732,1.04000,1.59000,5799.00000,0.36633,8.24400,3114.35855,2079.22760,1.65306,Confirmed
EPIC 228814754.01,505,0.84455,1.00500,3118.19217,0.58000,,0.98938,0.00893,0.13300,0.16500,3109.00000,-2.63985,11.86500,28.76508,644.57918,3.46370,Candidate
EPIC 247122439.01,506,0.73217,1.10800,150.87148,1.30000,,1.40359,0.01498,0.83600,0.82700,4641.00000,-0.54385,10.65400,1274.43848,1662.98985,1.32232,Candidate
EPIC 249901311.01,507,0.80186,1.43300,1117.49586,,,2.64435,0.01228,0.38400,0.39300,3594.00000,-1.63421,11.98800,154.01297,980.50362,2.75029,Candidate
GJ 367 b,513,0.32192,0.69900,212.00000,0.62900,0.63300,,0.00709,0.45500,0.45800,3522.00000,-1.53910,5.78000,579.00000,1362.89300,17.71700,Confirmed
TOI-5033.01,514,5.46954,1.39849,1600.00000,1.27400,,2.53715,0.04272,0.34768,0.36167,3465.00000,-1.76986,9.44700,9.30824,486.15720,1.86390,Candidate
TOI-5078.01,515,1.51102,1.48308,408.00000,1.23200,,2.80317,0.02320,0.73000,0.68447,4595.00000,-0.72545,8.13100,349.48329,1203.41795,6.57964,Candidate
TOI-5084.01,516,5.83213,1.15931,274.00000,2.03900,,1.65085,0.05683,0.72000,0.75245,4544.00000,-0.66260,5.95700,67.32807,797.27642,5.02231,Candidate
TOI-5088.02,517,13.41552,1.53332,550.00000,3.66500,,2.96628,0.11050,1.00000,0.86901,5638.66000,-0.16255,8.28100,56.33307,762.51911,2.38547,Candidate
TOI-5130.01,522,2.16678,1.77352,282.00000,4.41600,,3.79768,0.03483,1.20100,1.19580,6224.00000,0.28629,7.83400,1593.28661,1758.46349,6.98228,Candidate
TOI-4616.01,523,1.55382,1.26432,3449.95192,0.92394,,2.13785,0.01431,0.16188,0.19273,3244.00000,-2.43109,10.47000,18.10118,574.09873,4.84060,Candidate
LTT 1445 A c,524,3.12390,1.14700,1570.00000,0.48200,1.54000,,0.02661,0.25700,0.26500,3340.00000,-2.04591,6.49600,10.90000,525.48454,9.85592,Confirmed
TOI-5159.01,525,5.83651,1.61343,256.70448,2.69989,,3.23418,0.06125,0.90000,0.85408,5259.00000,-0.29869,7.46800,133.98705,946.94681,2.93141,Candidate
TOI-5166.01,526,1.77269,1.70798,390.00000,1.40900,,3.56249,0.02833,0.96500,0.88646,5502.00000,-0.18790,8.86300,808.51382,1484.16348,5.26407,Candidate
TOI-206 b,527,0.73631,1.30000,1322.54610,0.67369,,2.24129,0.01120,0.35000,0.35000,3383.00000,-1.83581,10.06000,117.75820,914.10980,7.33904,Confirmed
TOI-500 b,528,0.54818,1.16600,248.70000,0.99800,1.42000,,0.01189,0.74000,0.67800,4440.00000,-0.70002,7.71500,1138.00000,1705.94078,9.28034,Confirmed
TOI-833 b,529,1.04188,1.27000,465.38540,1.27377,,2.15419,0.01710,0.61000,0.60000,3920.00000,-1.11104,8.14600,270.06820,1122.79850,7.94290,Confirmed
TOI-1075 b,530,0.60473,1.79100,1027.68330,1.04038,9.95000,,0.01159,0.60400,0.58100,3875.00000,-1.14436,9.11500,509.20000,1337.91388,15.82775,Confirmed
TOI-1411 b,531,1.45205,1.19881,393.00000,1.50887,2.00000,,0.02122,0.60450,0.61400,4115.00000,-1.01323,7.25000,266.85000,1066.30069,8.59781,Confirmed
TOI-1442 b,532,0.40907,1.17000,1281.22950,0.61657,,1.70605,0.00710,0.29000,0.31000,3330.00000,-1.97722,10.08900,207.02420,1058.34120,9.79603,Confirmed
TOI-1693 b,533,1.76670,1.41000,830.50830,1.41967,,2.57270,0.02260,0.49000,0.46000,3499.00000,-1.55409,8.33100,57.02080,756.80355,6.22235,Confirmed
TOI-1860 b,534,1.06621,1.31000,151.00000,1.14200,,2.27064,0.02040,0.99000,0.94000,5752.00000,-0.09475,6.79200,876.70300,1845.25884,7.14208,Confirmed
TOI-2260 b,535,0.35247,1.62000,305.00000,0.57800,,3.25656,0.00970,0.99000,0.94000,5534.00000,-0.19851,8.68400,1844.98000,2520.84714,9.96439,Confirmed
TOI-2411 b,536,0.78269,1.68000,519.19120,1.26215,,3.46397,0.01440,0.65000,0.68000,4099.00000,-0.87076,8.53200,651.90820,1405.03982,10.62461,Confirmed
TOI-2427 b,537,1.30600,1.80000,560.00000,0.63400,,3.89445,0.02020,0.64000,0.65000,4072.00000,-0.94244,7.04800,62.71360,1138.34576,15.51917,Confirmed
TOI-2445 b,538,0.37113,1.25000,2322.62180,0.49182,,2.09691,0.00640,0.25000,0.27000,3333.00000,-2.08408,10.77900,204.48740,1048.21384,12.65731,Confirmed
GJ 3929 b,541,2.61624,1.09000,1120.60140,1.19000,1.75000,,0.02520,0.31300,0.32000,3384.00000,-1.96257,7.86900,17.30000,566.52243,4.72120,Confirmed
TOI-1746.02,542,3.87768,1.36581,1077.91055,1.02975,,2.43730,0.03569,0.40324,0.41047,3340.00000,-1.72377,9.50100,14.83241,546.21396,1.93319,Candidate
TOI-2104.03,543,15.18087,1.87839,689.00000,2.80800,,4.18676,0.11139,0.80000,0.72376,4907.00000,-0.56286,8.65200,22.05338,603.15466,1.54567,Candidate
TOI-2104.04,544,1.98031,1.17579,306.00000,1.66000,,1.73653,0.02865,0.80000,0.72376,4907.00000,-0.56286,8.65200,333.34353,1189.27663,3.50451,Candidate
